input,target
अम चिना लाईन गितिज जानाम?,ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱜᱤᱴᱤᱡ ᱡᱟᱱᱟᱢ?
Am china line gitij janam?,ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱜᱤᱴᱤᱡ ᱡᱟᱱᱟᱢ?
Am china line gitij janam?,अम चिना लाईन गितिज जानाम?
ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱜᱤᱴᱤᱡ ᱡᱟᱱᱟᱢ?,Why did you sleep?
Am hani ke seno line china line kajikedam?,Why did you tell him to go?
अम हानी के सेनो लाईन चिना लाईन काजीकेदाम?,ᱟᱢ ᱦᱟᱱᱤ ᱠᱮ ᱥᱮᱱᱚ ᱞᱟᱭᱱᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱠᱟᱡᱤᱠᱮᱰᱟᱢ?
Am hani ke seno line china line kajikedam?,ᱟᱢ ᱦᱟᱱᱤ ᱠᱮ ᱥᱮᱱᱚ ᱞᱟᱭᱱᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱠᱟᱡᱤᱠᱮᱰᱟᱢ?
Am hani ke seno line china line kajikedam?,अम हानी के सेनो लाईन चिना लाईन काजीकेदाम?
ᱟᱢ ᱦᱟᱱᱤ ᱠᱮ ᱥᱮᱱᱚ ᱞᱟᱭᱱᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱠᱟᱡᱤᱠᱮᱰᱟᱢ?,Why did you tell him to go?
Hani taila china line aulay?,Why did he bring the bag?
हानी थाईला चिना लाईन अउलाय?,ᱦᱟᱱᱤ ᱛᱷᱟᱭᱞᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱚᱣᱞᱟᱭ?
Hani taila china line aulay?,ᱦᱟᱱᱤ ᱛᱷᱟᱭᱞᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱚᱣᱞᱟᱭ?
Hani taila china line aulay?,हानी थाईला चिना लाईन अउलाय?
ᱦᱟᱱᱤ ᱛᱷᱟᱭᱞᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱚᱣᱞᱟᱭ?,Why did he bring the bag?
Hani paisa china line em keday?,Why did she pay the money?
हानी पैसा चिना लाईन एम केदय?,ᱦᱟᱱᱤ ᱯᱟᱭᱥᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱤᱢ ᱠᱮᱰᱟᱭ?
Hani paisa china line em keday?,ᱦᱟᱱᱤ ᱯᱟᱭᱥᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱤᱢ ᱠᱮᱰᱟᱭ?
Hani paisa china line em keday?,हानी पैसा चिना लाईन एम केदय?
ᱦᱟᱱᱤ ᱯᱟᱭᱥᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱤᱢ ᱠᱮᱰᱟᱭ?,Why did she pay the money?
Hani hanta chikna line dub kenay?,Why did they sit there?
हानी हांता चिकना लाईन दुब केनाय?,ᱦᱟᱱᱤ ᱦᱟᱱᱛᱟ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱫᱩᱵ ᱠᱮᱱᱟᱭ?
Hani hanta chikna line dub kenay?,ᱦᱟᱱᱤ ᱦᱟᱱᱛᱟ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱫᱩᱵ ᱠᱮᱱᱟᱭ?
Hani hanta chikna line dub kenay?,हानी हांता चिकना लाईन दुब केनाय?
ᱦᱟᱱᱤ ᱦᱟᱱᱛᱟ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱫᱩᱵ ᱠᱮᱱᱟᱭ?,Why did they sit there?
Am gadi chikna line chalao yam?,Why do you drive the car?
अम गाड़ी चिकना लाईन चलाओ याम?,ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱪᱟᱞᱟᱚ ᱵᱟᱢ?
Am gadi chikna line chalao yam?,ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱪᱟᱞᱟᱚ ᱵᱟᱢ?
Am gadi chikna line chalao yam?,अम गाड़ी चिकना लाईन चलाओ याम?
ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱪᱟᱞᱟᱚ ᱵᱟᱢ?,Why do you drive the car?
Hani meating re heda te chena line hejuyanay?,Why did they come late for the meeting?
हानी मीटिंग रे हेडा ते चिना लाईन हिजुयानाय?,ᱦᱟᱱᱤ ᱢᱤᱴᱤᱝ ᱨᱮ ᱦᱮᱰᱟ ᱛᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩᱭᱟᱱᱟᱭ?
Hani meating re heda te chena line hejuyanay?,ᱦᱟᱱᱤ ᱢᱤᱴᱤᱝ ᱨᱮ ᱦᱮᱰᱟ ᱛᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩᱭᱟᱱᱟᱭ?
Hani meating re heda te chena line hejuyanay?,हानी मीटिंग रे हेडा ते चिना लाईन हिजुयानाय?
ᱦᱟᱱᱤ ᱢᱤᱴᱤᱝ ᱨᱮ ᱦᱮᱰᱟ ᱛᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩᱭᱟᱱᱟᱭ?,Why did they come late for the meeting?
Am chilka hijuyanam?,How did you come?
अम चिलका हिजुयानाम?,ᱟᱢ ᱪᱤᱞᱠᱟ ᱦᱤᱡᱩᱭᱟᱱᱟᱢ?
Am chilka hijuyanam?,ᱟᱢ ᱪᱤᱞᱠᱟ ᱦᱤᱡᱩᱭᱟᱱᱟᱢ?
Am chilka hijuyanam?,अम चिलका हिजुयानाम?
ᱟᱢ ᱪᱤᱞᱠᱟ ᱦᱤᱡᱩᱭᱟᱱᱟᱢ?,How did you come?
Am chilka gitij yanam?,Am chilka hijuyanam?
अम चिलका गितिज यानाम?, ᱟᱢ ᱪᱤᱞᱠᱟ ᱜᱤᱴᱤᱡ ᱵᱟᱱᱟᱢ?
Am chilka gitij yanam?, ᱟᱢ ᱪᱤᱞᱠᱟ ᱜᱤᱴᱤᱡ ᱵᱟᱱᱟᱢ?
Am chilka gitij yanam?,अम चिलका गितिज यानाम?
 ᱟᱢ ᱪᱤᱞᱠᱟ ᱜᱤᱴᱤᱡ ᱵᱟᱱᱟᱢ?,Am chilka hijuyanam?
Am gadi chilka chalaokedam?,How did you drive the car?
अम गाड़ी चिलका चलाओकेदाम?,ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱞᱠᱟ ᱪᱟᱞᱟᱚᱠᱮᱰᱟᱢ?
Am gadi chilka chalaokedam?,ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱞᱠᱟ ᱪᱟᱞᱟᱚᱠᱮᱰᱟᱢ?
Am gadi chilka chalaokedam?,अम गाड़ी चिलका चलाओकेदाम?
ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱞᱠᱟ ᱪᱟᱞᱟᱚᱠᱮᱰᱟᱢ?,How did you drive the car?
Am chilka oll kedam?,How did you write?
अम चिलका ओल्ल केदाम?,ᱟᱢ ᱪᱤᱞᱠᱟ ᱳᱞᱞ ᱠᱮᱰᱟᱢ?
Am chilka oll kedam?,ᱟᱢ ᱪᱤᱞᱠᱟ ᱳᱞᱞ ᱠᱮᱰᱟᱢ?
Am chilka oll kedam?,अम चिलका ओल्ल केदाम?
ᱟᱢ ᱪᱤᱞᱠᱟ ᱳᱞᱞ ᱠᱮᱰᱟᱢ?,How did you write?
Aina tie re chimnam sev mena?,How many apples are there in my hand?
आईना टिए रे चिमनम सेव मेना?,ᱟᱭᱱᱟ ᱴᱤᱭ ᱨᱮ ᱪᱤᱢᱱᱟᱢ ᱥᱮᱣ ᱢᱮᱱᱟ?
Aina tie re chimnam sev mena?,ᱟᱭᱱᱟ ᱴᱤᱭ ᱨᱮ ᱪᱤᱢᱱᱟᱢ ᱥᱮᱣ ᱢᱮᱱᱟ?
Aina tie re chimnam sev mena?,आईना टिए रे चिमनम सेव मेना?
ᱟᱭᱱᱟ ᱴᱤᱭ ᱨᱮ ᱪᱤᱢᱱᱟᱢ ᱥᱮᱣ ᱢᱮᱱᱟ?,How many apples are there in my hand?
Am chimnang idi kedam?,How many did you take?
अम चिमनंग ईदी केदाम?, ᱟᱢ ᱪᱤᱢᱱᱟᱝ ᱤᱰᱤ ᱠᱮᱰᱟᱢ?
Am chimnang idi kedam?, ᱟᱢ ᱪᱤᱢᱱᱟᱝ ᱤᱰᱤ ᱠᱮᱰᱟᱢ?
Am chimnang idi kedam?,अम चिमनंग ईदी केदाम?
 ᱟᱢ ᱪᱤᱢᱱᱟᱝ ᱤᱰᱤ ᱠᱮᱰᱟᱢ?,How many did you take?
Hani amke chimnang paisa em lay?,How much did he pay you?
हानी अमके चिमनंग पैसा एम लाय?,ᱦᱟᱱᱤ ᱟᱢᱠᱮ ᱪᱤᱢᱱᱟᱝ ᱯᱟᱭᱥᱟ ᱤᱢ ᱞᱟᱭ?
Hani amke chimnang paisa em lay?,ᱦᱟᱱᱤ ᱟᱢᱠᱮ ᱪᱤᱢᱱᱟᱝ ᱯᱟᱭᱥᱟ ᱤᱢ ᱞᱟᱭ?
Hani amke chimnang paisa em lay?,हानी अमके चिमनंग पैसा एम लाय?
ᱦᱟᱱᱤ ᱟᱢᱠᱮ ᱪᱤᱢᱱᱟᱝ ᱯᱟᱭᱥᱟ ᱤᱢ ᱞᱟᱭ?,How much did he pay you?
Haddo chimnang sangin sen mena?,How much distance to go?
हड्डो चिमनंग सांगिन सेन मेना?,ᱦᱟᱰᱰᱚ ᱪᱤᱢᱱᱟᱝ ᱥᱟᱝᱜᱤᱱ ᱥᱮᱱ ᱢᱮᱱᱟ?
Haddo chimnang sangin sen mena?,ᱦᱟᱰᱰᱚ ᱪᱤᱢᱱᱟᱝ ᱥᱟᱝᱜᱤᱱ ᱥᱮᱱ ᱢᱮᱱᱟ?
Haddo chimnang sangin sen mena?,हड्डो चिमनंग सांगिन सेन मेना?
ᱦᱟᱰᱰᱚ ᱪᱤᱢᱱᱟᱝ ᱥᱟᱝᱜᱤᱱ ᱥᱮᱱ ᱢᱮᱱᱟ?,How much distance to go?
Hola ra yatra chilka tine kena?,How was the journey yesterday?
होला र यात्रा चिलका तिने केना?,ᱦᱚᱞᱟ ᱨ ᱭᱟᱴᱨᱟ ᱪᱤᱞᱠᱟ ᱴᱤᱱᱮ ᱠᱮᱱᱟ?
Hola ra yatra chilka tine kena?,ᱦᱚᱞᱟ ᱨ ᱭᱟᱴᱨᱟ ᱪᱤᱞᱠᱟ ᱴᱤᱱᱮ ᱠᱮᱱᱟ?
Hola ra yatra chilka tine kena?,होला र यात्रा चिलका तिने केना?
ᱦᱚᱞᱟ ᱨ ᱭᱟᱴᱨᱟ ᱪᱤᱞᱠᱟ ᱴᱤᱱᱮ ᱠᱮᱱᱟ?,How was the journey yesterday?
Ape oko hora te hiju janape?,Which way did you come?
अपे ओको होरा ते हिजु जानापे?,ᱟᱯᱮ ᱳᱠᱚ ᱦᱚᱨᱟ ᱛᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱯᱮ?
Ape oko hora te hiju janape?,ᱟᱯᱮ ᱳᱠᱚ ᱦᱚᱨᱟ ᱛᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱯᱮ?
Ape oko hora te hiju janape?,अपे ओको होरा ते हिजु जानापे?
ᱟᱯᱮ ᱳᱠᱚ ᱦᱚᱨᱟ ᱛᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱯᱮ?,Which way did you come?
Apeke okon ranga suku mena?,Which is your favourite colour?
अपेके ओकों रंगा सुकु मेना ?,ᱟᱯᱮᱠᱮ ᱳᱠᱚᱱ ᱨᱟᱝᱜᱟ ᱥᱩᱠᱩ ᱢᱮᱱᱟ?
Apeke okon ranga suku mena?,ᱟᱯᱮᱠᱮ ᱳᱠᱚᱱ ᱨᱟᱝᱜᱟ ᱥᱩᱠᱩ ᱢᱮᱱᱟ?
Apeke okon ranga suku mena?,अपेके ओकों रंगा सुकु मेना ?
ᱟᱯᱮᱠᱮ ᱳᱠᱚᱱ ᱨᱟᱝᱜᱟ ᱥᱩᱠᱩ ᱢᱮᱱᱟ?,Which is your favourite colour?
Am okon kamra re gitij kenam? ,In which room did you sleep?
अम ओकों कमरा रे गितिज केनाम?,ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱢᱨᱟ ᱨᱮ ᱜᱤᱛᱤᱡ ᱠᱮᱱᱟᱢ?
Am okon kamra re gitij kenam? ,ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱢᱨᱟ ᱨᱮ ᱜᱤᱛᱤᱡ ᱠᱮᱱᱟᱢ?
Am okon kamra re gitij kenam? ,अम ओकों कमरा रे गितिज केनाम?
ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱢᱨᱟ ᱨᱮ ᱜᱤᱛᱤᱡ ᱠᱮᱱᱟᱢ?,In which room did you sleep?
Am okon kahani udub lam?,Which story did you tell?
अम ओकों कहानी उडुब लाम?,ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱦᱟᱱᱤ ᱩᱰᱩᱵ ᱞᱟᱢ?
Am okon kahani udub lam?,ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱦᱟᱱᱤ ᱩᱰᱩᱵ ᱞᱟᱢ?
Am okon kahani udub lam?,अम ओकों कहानी उडुब लाम?
ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱦᱟᱱᱤ ᱩᱰᱩᱵ ᱞᱟᱢ?,Which story did you tell?
Sobena te metta mittai okna tana?,Which is the sweetest fruit?
सोबेन ते मिठा मिठाइ ओकना तना?,ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱤᱛᱟ ᱢᱤᱛᱟᱭ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?
Sobena te metta mittai okna tana?,ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱤᱛᱟ ᱢᱤᱛᱟᱭ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?
Sobena te metta mittai okna tana?,सोबेन ते मिठा मिठाइ ओकना तना?
ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱤᱛᱟ ᱢᱤᱛᱟᱭ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?,Which is the sweetest fruit?
Hindi re soben te maza samachar patr okna tana?,Which is the best newspaper in Hindi?
हिंदी रे सोबेन ते माजा समाचार पत्र ओकना तना? ,ᱦᱤᱱᱰᱤ ᱨᱮ ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱟᱡᱟ ᱥᱟᱢᱟᱪᱟᱨ ᱯᱟᱴᱨ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?
Hindi re soben te maza samachar patr okna tana?,ᱦᱤᱱᱰᱤ ᱨᱮ ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱟᱡᱟ ᱥᱟᱢᱟᱪᱟᱨ ᱯᱟᱴᱨ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?
Hindi re soben te maza samachar patr okna tana?,हिंदी रे सोबेन ते माजा समाचार पत्र ओकना तना? 
ᱦᱤᱱᱰᱤ ᱨᱮ ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱟᱡᱟ ᱥᱟᱢᱟᱪᱟᱨ ᱯᱟᱴᱨ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?,Which is the best newspaper in Hindi?
Okon bharatiya rajya ra jansankhya thimba mena?,Which Indian state has the largest population?
ओकोंन भारतीय राज्य र जनसंख्या थिम्बा मेना?,ᱳᱠᱚᱱᱱ ᱵᱷᱟᱨᱟᱴᱤᱭᱟ ᱨᱟᱡᱭᱟ ᱨᱟ ᱡᱟᱱᱥᱟᱱᱠᱷᱭᱟ ᱛᱤᱢᱵᱟ ᱢᱮᱱᱟ?
Okon bharatiya rajya ra jansankhya thimba mena?,ᱳᱠᱚᱱᱱ ᱵᱷᱟᱨᱟᱴᱤᱭᱟ ᱨᱟᱡᱭᱟ ᱨᱟ ᱡᱟᱱᱥᱟᱱᱠᱷᱭᱟ ᱛᱤᱢᱵᱟ ᱢᱮᱱᱟ?
Okon bharatiya rajya ra jansankhya thimba mena?,ओकोंन भारतीय राज्य र जनसंख्या थिम्बा मेना?
ᱳᱠᱚᱱᱱ ᱵᱷᱟᱨᱟᱴᱤᱭᱟ ᱨᱟᱡᱭᱟ ᱨᱟ ᱡᱟᱱᱥᱟᱱᱠᱷᱭᱟ ᱛᱤᱢᱵᱟ ᱢᱮᱱᱟ?,Which Indian state has the largest population?
Am oktate hiju taname?,Where are you coming from?
अम ओक्ताते हिजु तानामे?,ᱟᱢ ᱳᱠᱛᱟᱴᱮ ᱦᱤᱡᱩ ᱴᱟᱱᱟᱢᱮ?
Am oktate hiju taname?,ᱟᱢ ᱳᱠᱛᱟᱴᱮ ᱦᱤᱡᱩ ᱴᱟᱱᱟᱢᱮ?
Am oktate hiju taname?,अम ओक्ताते हिजु तानामे?
ᱟᱢ ᱳᱠᱛᱟᱴᱮ ᱦᱤᱡᱩ ᱴᱟᱱᱟᱢᱮ?,Where are you coming from?
soben,All
सोबेन,ᱥᱳᱵᱮᱱ
soben,ᱥᱳᱵᱮᱱ
soben,सोबेन
ᱥᱳᱵᱮᱱ,All
tana,is / it is
तना,ᱴᱟᱱᱟ
tana,ᱴᱟᱱᱟ
tana,तना
ᱴᱟᱱᱟ,is / it is
samachar,newspaper
समाचार,ᱥᱟᱢᱟᱪᱟᱨ
samachar,ᱥᱟᱢᱟᱪᱟᱨ
samachar,समाचार
ᱥᱟᱢᱟᱪᱟᱨ,newspaper
te,which
ते,ᱴᱮ
te,ᱴᱮ
te,ते
ᱴᱮ,which
 thimba,more / greater / larger
थिम्बा,ᱛᱤᱢᱵᱟ
 thimba,ᱛᱤᱢᱵᱟ
 thimba,थिम्बा
ᱛᱤᱢᱵᱟ,more / greater / larger
 huding,less / fewer
हुडिंग,ᱦᱩᱰᱤᱝ
 huding,ᱦᱩᱰᱤᱝ
 huding,हुडिंग
ᱦᱩᱰᱤᱝ,less / fewer
bulung,salt
बुलुंग,ᱵᱩᱞᱩᱝ
bulung,ᱵᱩᱞᱩᱝ
bulung,बुलुंग
ᱵᱩᱞᱩᱝ,salt
gohom,Wheat
गॊहोम,ᱜᱚᱦᱚᱢ
gohom,ᱜᱚᱦᱚᱢ
gohom,गॊहोम
ᱜᱚᱦᱚᱢ,Wheat
kodae,finger millet 
कोदै,ᱠᱚᱰᱟᱭ
kodae,ᱠᱚᱰᱟᱭ
kodae,कोदै
ᱠᱚᱰᱟᱭ,finger millet 
baba,paddy / rice
बाबा,ᱵᱟᱵᱟ
baba,ᱵᱟᱵᱟ
baba,बाबा
ᱵᱟᱵᱟ,paddy / rice
tamras,Guava
तम्रस,ᱛᱟᱢᱨᱟᱥ
tamras,ᱛᱟᱢᱨᱟᱥ
tamras,तम्रस
ᱛᱟᱢᱨᱟᱥ,Guava
Jojo,tamarind
जोजो,ᱡᱳᱡᱳ
Jojo,ᱡᱳᱡᱳ
Jojo,जोजो
ᱡᱳᱡᱳ,tamarind
kuda,black plum / jamun
कुदा,ᱠᱩᱰᱟ
kuda,ᱠᱩᱰᱟ
kuda,कुदा
ᱠᱩᱰᱟ,black plum / jamun
holong,roti / flatbread
होलोङ,ᱦᱚᱞᱚᱝ
holong,ᱦᱚᱞᱚᱝ
holong,होलोङ
ᱦᱚᱞᱚᱝ,roti / flatbread
sengel,Fire
सेंगेल,ᱥᱮᱝᱜᱮᱞ
sengel,ᱥᱮᱝᱜᱮᱞ
sengel,सेंगेल
ᱥᱮᱝᱜᱮᱞ,Fire
sahan,wood
सहन,ᱥᱟᱦᱟᱱ
sahan,ᱥᱟᱦᱟᱱ
sahan,सहन
ᱥᱟᱦᱟᱱ,wood
sota, stick 
सोटा,ᱥᱳᱴᱟ
sota,ᱥᱳᱴᱟ
sota,सोटा
ᱥᱳᱴᱟ, stick 
ode,bird
ओडे,ᱳᱰᱮ
ode,ᱳᱰᱮ
ode,ओडे
ᱳᱰᱮ,bird
merom,goat
मेरोम,ᱢᱮᱨᱚᱢ
merom,ᱢᱮᱨᱚᱢ
merom,मेरोम
ᱢᱮᱨᱚᱢ,goat
urig,ox/bull
उरिग,ᱩᱨᱤᱜ
urig,ᱩᱨᱤᱜ
urig,उरिग
ᱩᱨᱤᱜ,ox/bull
katu,knife
कातु,ᱠᱟᱴᱩ
katu,ᱠᱟᱴᱩ
katu,कातु
ᱠᱟᱴᱩ,knife
sadom,horse
सदोम,ᱥᱟᱰᱚᱢ
sadom,ᱥᱟᱰᱚᱢ
sadom,सदोम
ᱥᱟᱰᱚᱢ,horse
kulla,tiger
कुल्ला,ᱠᱩᱞᱞᱟ
kulla,ᱠᱩᱞᱞᱟ
kulla,कुल्ला
ᱠᱩᱞᱞᱟ,tiger
okta,where
ओकता,ᱳᱠᱛᱟ
okta,ᱳᱠᱛᱟ
okta,ओकता
ᱳᱠᱛᱟ,where
bhit,Wall
भीत,ᱵᱤᱛ
bhit,ᱵᱤᱛ
bhit,भीत
ᱵᱤᱛ,Wall
roko,fly
रोको,ᱨᱚᱠᱳ
roko,ᱨᱚᱠᱳ
roko,रोको
ᱨᱚᱠᱳ,fly
nidir,termite
निदिर,ᱱᱤᱰᱤᱨ
nidir,ᱱᱤᱰᱤᱨ
nidir,निदिर
ᱱᱤᱰᱤᱨ,termite
sim,Chicken 
सिम,ᱥᱤᱢ
sim,ᱥᱤᱢ
sim,सिम
ᱥᱤᱢ,Chicken 
doya,back
दोया,ᱰᱳᱭᱟ
doya,ᱰᱳᱭᱟ
doya,दोया
ᱰᱳᱭᱟ,back
kata,legs
काटा,ᱠᱟᱴᱟ
kata,ᱠᱟᱴᱟ
kata,काटा
ᱠᱟᱴᱟ,legs
sarsar,fingers 
सर्सर,ᱥᱟᱨᱥᱟᱨ
sarsar,ᱥᱟᱨᱥᱟᱨ
sarsar,सर्सर
ᱥᱟᱨᱥᱟᱨ,fingers 
lutur,ear
लुतुर,ᱞᱩᱴᱩᱨ
lutur,ᱞᱩᱴᱩᱨ
lutur,लुतुर
ᱞᱩᱴᱩᱨ,ear
ubb,hair
उब्ब,ᱩᱵᱵ
ubb,ᱩᱵᱵ
ubb,उब्ब
ᱩᱵᱵ,hair
hoto,neck
होटो,ᱦᱳᱴᱳ
hoto,ᱦᱳᱴᱳ
hoto,होटो
ᱦᱳᱴᱳ,neck
heda,late
हेड़ा,ᱦᱮᱰᱟ
heda,ᱦᱮᱰᱟ
heda,हेड़ा
ᱦᱮᱰᱟ,late
chimnang,how much/how many
चिमनांग,ᱪᱤᱢᱱᱟᱝ
chimnang,ᱪᱤᱢᱱᱟᱝ
chimnang,चिमनांग
ᱪᱤᱢᱱᱟᱝ,how much/how many
pit,market
पिट,ᱯᱤᱛ
pit,ᱯᱤᱛ
pit,पिट
ᱯᱤᱛ,market
kahagi,no
काहागी, ᱠᱚᱦᱟᱜᱤ
kahagi, ᱠᱚᱦᱟᱜᱤ
kahagi,काहागी
 ᱠᱚᱦᱟᱜᱤ,no
aleya,our
अलेया,ᱟᱞᱮᱭᱟ
aleya,ᱟᱞᱮᱭᱟ
aleya,अलेया
ᱟᱞᱮᱭᱟ,our
nimir,nowdays
निमिर,ᱱᱤᱢᱤᱨ
nimir,ᱱᱤᱢᱤᱨ
nimir,निमिर
ᱱᱤᱢᱤᱨ,nowdays
bano,no
बानो,ᱵᱟᱱᱳ
bano,ᱵᱟᱱᱳ
bano,बानो
ᱵᱟᱱᱳ,no
amaa,your
अमा,ᱟᱢᱟ
amaa,ᱟᱢᱟ
amaa,अमा
ᱟᱢᱟ,your
uma,mother
उमा,ᱩᱢᱟ
uma,ᱩᱢᱟ
uma,उमा
ᱩᱢᱟ,mother
abaa,father
अबा,ᱟᱵᱟ
abaa,ᱟᱵᱟ
abaa,अबा
ᱟᱵᱟ,father
oɖa,home
ओड़ा,ᱳᱰᱟ
oɖa,ᱳᱰᱟ
oɖa,ओड़ा
ᱳᱰᱟ,home
okoy,Who
ओकोय,ᱳᱠᱳᱭ
okoy,ᱳᱠᱳᱭ
okoy,ओकोय
ᱳᱠᱳᱭ,Who
dada,brother
दादा,ᱰᱟᱰᱟ
dada,ᱰᱟᱰᱟ
dada,दादा
ᱰᱟᱰᱟ,brother
kota,where
कोता,ᱠᱳᱛᱟ
kota,ᱠᱳᱛᱟ
kota,कोता
ᱠᱳᱛᱟ,where
nutum,name
नुतुम,ᱱᱩᱴᱩᱢ
nutum,ᱱᱩᱴᱩᱢ
nutum,नुतुम
ᱱᱩᱴᱩᱢ,name
cinaḥ,what
चीनाः,ᱪᱤᱱᱟᱹ
cinaḥ,ᱪᱤᱱᱟᱹ
cinaḥ,चीनाः
ᱪᱤᱱᱟᱹ,what
reyɖ, Cold
रेयड़,ᱨᱮᱭᱰ
reyɖ,ᱨᱮᱭᱰ
reyɖ,रेयड़
ᱨᱮᱭᱰ, Cold
rabang,Cold Weather
रबंग,ᱨᱵᱟᱝ
rabang,ᱨᱵᱟᱝ
rabang,रबंग
ᱨᱵᱟᱝ,Cold Weather
balbal,hot weather
बलबल,ᱵᱟᱞᱵᱟᱞ
balbal,ᱵᱟᱞᱵᱟᱞ
balbal,बलबल
ᱵᱟᱞᱵᱟᱞ,hot weather
situm,sunlight
सितुम,ᱥᱤᱴᱩᱢ
situm,ᱥᱤᱴᱩᱢ
situm,सितुम
ᱥᱤᱴᱩᱢ,sunlight
umbul,shade
उम्बुल,ᱩᱢᱵᱩᱞ
umbul,ᱩᱢᱵᱩᱞ
umbul,उम्बुल
ᱩᱢᱵᱩᱞ,shade
singi,day
सिंगी,ᱥᱤᱝᱜᱤ
singi,ᱥᱤᱝᱜᱤ
singi,सिंगी
ᱥᱤᱝᱜᱤ,day
ayub,night
अयुब,ᱟᱭᱩᱵ
ayub,ᱟᱭᱩᱵ
ayub,अयुब
ᱟᱭᱩᱵ,night
Don't,alom
आलोम,ᱟᱞᱚᱢ
Don't,ᱟᱞᱚᱢ
Don't,आलोम
ᱟᱞᱚᱢ,alom
cetan,Up
चेतान,ᱪᱮᱴᱟᱱ
cetan,ᱪᱮᱴᱟᱱ
cetan,चेतान
ᱪᱮᱴᱟᱱ,Up
To keep,To keep
दोहो,ᱫᱚᱦᱚ
To keep,ᱫᱚᱦᱚ
To keep,दोहो
ᱫᱚᱦᱚ,To keep
katikan,little
कटिकन,ᱠᱛᱤᱠᱟᱱ
katikan,ᱠᱛᱤᱠᱟᱱ
katikan,कटिकन
ᱠᱛᱤᱠᱟᱱ,little
lthar,Down 
लथार,ᱞᱛᱟᱨ
lthar,ᱞᱛᱟᱨ
lthar,लथार
ᱞᱛᱟᱨ,Down 
muruk,A lot / Very much
मुरुक,ᱢᱩᱨᱩᱠ
muruk,ᱢᱩᱨᱩᱠ
muruk,मुरुक
ᱢᱩᱨᱩᱠ,A lot / Very much
ising,today
इसिंग,ᱤᱥᱤᱝ
ising,ᱤᱥᱤᱝ
ising,इसिंग
ᱤᱥᱤᱝ,today
chaha,tea
चाहा,ᱪᱟᱦᱟ
chaha,ᱪᱟᱦᱟ
chaha,चाहा
ᱪᱟᱦᱟ,tea
utu,vegetable
ऊतु,ᱩᱴᱩ
utu,ᱩᱴᱩ
utu,ऊतु
ᱩᱴᱩ,vegetable
dail,Lentils
दाइल,ᱫᱟᱭᱞ
